"column_name","data_type","is_nullable","column_default"
"id","uuid","NO","uuid_generate_v4()"
"name","text","NO",""
"registration_number","text","NO",""
"status","text","YES","'pending'::text"
"verified","boolean","YES","false"
"created_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"updated_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"address","text","YES",""
"city","text","YES",""
"postal_code","text","YES",""
"country","text","YES","'Canada'::text"
"phone","text","YES",""
"email","text","YES",""
"website","text","YES",""
"total_capacity","integer","YES",""
"current_capacity","integer","YES","0"
"tax_id","text","YES",""
"verification_date","timestamp with time zone","YES",""
"verified_by","uuid","YES",""
"last_audit_date","timestamp with time zone","YES",""
"services","jsonb","YES","'[]'::jsonb"
"metadata","jsonb","YES","'{}'::jsonb"
"wallet_address","text","YES",""
"token_balance","numeric","YES","0"
"housing_fund_balance","numeric","YES","0"
"location","USER-DEFINED","YES",""
"operating_hours","jsonb","YES","'{}'::jsonb"
"emergency_contacts","jsonb","YES","'[]'::jsonb"
"documents","jsonb","YES","'[]'::jsonb"
"logo_url","text","YES",""
"user_id","uuid","YES",""
"created_by","uuid","YES",""
"administrator","jsonb","YES",""
