"error_severity","event_message","id","identifier","timestamp"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","4dd69ec6-eef3-48e1-b170-1b5d477b2a15","oinjrlzucizztdstagqg","1737266335919000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","5b78745c-7eb8-4c45-b5df-fc51180a9e22","oinjrlzucizztdstagqg","1737266335919000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","6aa59636-f4ca-4358-b9d7-fb458d65fb94","oinjrlzucizztdstagqg","1737266335918000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","4bfadcf1-1322-4d85-a0b9-5ee7a8032958","oinjrlzucizztdstagqg","1737266335918000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","93c200e2-ea5c-45aa-93f5-bd347f03a720","oinjrlzucizztdstagqg","1737266335760000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","49856aee-cffe-4d27-878f-486deb6dca1a","oinjrlzucizztdstagqg","1737266335760000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","5a7c6930-5034-4395-9b0f-3f281d4b3404","oinjrlzucizztdstagqg","1737266335610000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","fd4dc7c4-e2ea-4456-bd88-fc5cad672fe5","oinjrlzucizztdstagqg","1737266335610000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","85a0e9d9-ab8c-4f13-bb9e-fde8ae40ceca","oinjrlzucizztdstagqg","1737266335499000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","546aa6ec-6f7c-4937-beff-ecf65a1ac905","oinjrlzucizztdstagqg","1737266335499000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","002674df-1d01-4fc5-b285-20e2d666c21e","oinjrlzucizztdstagqg","1737266335461000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","21d78173-c049-4438-b520-8d3606407bfe","oinjrlzucizztdstagqg","1737266335461000"
"LOG","connection authorized: user=supabase_admin database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","55fa1bb4-643c-4d6d-a146-7fc6b16ad2ae","oinjrlzucizztdstagqg","1737266335317000"
"LOG","connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","2cd5c8ce-40a6-42c1-a7b4-f5354351f92f","oinjrlzucizztdstagqg","1737266335317000"
"LOG","connection authorized: user=postgres database=postgres SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","6a3b01ca-1367-4493-912c-ccccfac6ab85","oinjrlzucizztdstagqg","1737266335248000"
"LOG","connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)","42a7ad3d-61ee-4f4d-83bf-590c002d3ddb","oinjrlzucizztdstagqg","1737266335248000"
"LOG","connection received: host=2600:1f18:2a66:6e01:5b92:65a7:45f2:118e port=58992","73d7da37-5f5a-407b-a44f-c0574ae96170","oinjrlzucizztdstagqg","1737266335230000"
